id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,case2a1,case2a2,case2a3,case2a4,case2a5,case2a6,case2a7,case2a8,case2a9,case2a10,case2a11,case2a12,case2a13,case2a14,case2a15,case2b1,case2b2,case2b3,case2b4,case2b5,case2b6,case2b7,case2b8,case2b9,case2b10,case2b11,case2b12,case2b13,case2b14,case2b15,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik,abschluss
23,89,2026-03-17 19:38:06,2026-03-17 19:41:47,2,,,,,,,,,,-10.0,-9.0,-5.0,-2.0,0.0,6.0,10.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,4.0,80.0,36.0,1.0,1600.0,7.0,6.0,4.0,
24,4,2026-03-17 19:51:35,2026-03-17 19:51:54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,89,2026-03-17 20:08:56,2026-03-17 20:26:29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,50.0,1.0,46.0,26.0,3.0,0.0,7.0,2.0,4.0,
26,2,2026-03-17 20:13:04,2026-03-17 20:13:04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,89,2026-03-17 20:33:20,2026-03-17 20:38:05,3,,,,,,,,,,,,,,,,,,,-100.0,-100.0,-70.0,-80.0,-10.0,-20.0,-40.0,-50.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,78.0,73.0,1.0,1900.0,8.0,10.0,4.0,
28,79,2026-03-17 20:51:30,2026-03-17 20:56:32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
29,20,2026-03-17 21:32:23,2026-03-17 21:34:47,2,,,,,,,,,,,,,50.0,100.0,100.0,20.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,89,2026-03-17 22:55:43,2026-03-17 23:03:28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,30.0,2.0,103.0,34.0,3.0,300.0,8.0,11.0,2.0,
31,89,2026-03-17 23:16:47,2026-03-17 23:29:21,3,,,,,,,,,,,,,,,,,,,210.0,100.0,120.0,140.0,160.0,180.0,200.0,220.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,70.0,1.0,65.0,66.0,3.0,800.0,5.0,13.0,5.0,
32,14,2026-03-18 05:43:13,2026-03-18 05:43:41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,89,2026-03-18 05:58:43,2026-03-18 06:02:37,1,-40.0,-30.0,-20.0,-5.0,0.0,5.0,10.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,2.0,150.0,34.0,3.0,4500.0,8.0,11.0,4.0,
34,89,2026-03-18 06:41:45,2026-03-18 06:45:25,2,,,,,,,,,,-10.0,-7.0,-5.0,-2.0,0.0,2.0,5.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,120.0,49.0,1.0,3500.0,8.0,10.0,4.0,
35,89,2026-03-18 10:37:30,2026-03-18 10:45:17,3,,,,,,,,,,,,,,,,,,,-4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,85.0,55.0,1.0,0.0,3.0,11.0,5.0,
36,79,2026-03-18 10:40:44,2026-03-18 10:45:52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-90.0,-60.0,-10.0,0.0,-10.0,-10.0,-15.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
37,44,2026-03-18 11:42:27,2026-03-18 11:43:07,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,89,2026-03-18 12:25:03,2026-03-18 12:33:12,2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,3.0,82.0,38.0,3.0,3600.0,5.0,2.0,4.0,
39,28,2026-03-18 12:29:54,2026-03-18 12:31:22,3,,,,,,,,,,,,,,,,,,,0.0,,7.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,34,2026-03-18 12:35:04,2026-03-18 12:35:11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,89,2026-03-18 12:40:16,2026-03-18 12:45:30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,25.0,2.0,148.0,57.0,3.0,6200.0,8.0,3.0,5.0,
42,89,2026-03-18 15:08:36,2026-03-18 15:18:03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,130.0,54.0,1.0,3000.0,5.0,9.0,3.0,
43,89,2026-03-18 16:28:08,2026-03-18 16:32:01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,6.0,4.0,3.0,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,70.0,38.0,1.0,3700.0,5.0,8.0,4.0,
44,60,2026-03-18 16:29:11,2026-03-18 16:29:49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,89,2026-03-18 16:29:20,2026-03-18 16:34:51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,7.0,1.0,50.0,1.0,57.0,67.0,1.0,2300.0,5.0,1.0,4.0,
46,89,2026-03-18 16:30:02,2026-03-18 16:46:26,3,,,,,,,,,,,,,,,,,,,80.0,30.0,40.0,20.0,30.0,0.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,25.0,140.0,56.0,1.0,5400.0,8.0,9.0,5.0,
47,89,2026-03-18 16:30:07,2026-03-18 16:35:08,3,,,,,,,,,,,,,,,,,,,-80.0,-100.0,-40.0,-30.0,0.0,20.0,40.0,60.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,2.0,104.0,62.0,3.0,2700.0,7.0,10.0,4.0,
48,44,2026-03-18 16:30:11,2026-03-18 16:30:24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,2026-03-18 16:30:30,2026-03-18 16:30:30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11,2026-03-18 16:31:26,2026-03-18 16:33:42,1,-100.0,,-10.0,-8.0,0.0,80.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,89,2026-03-18 16:32:36,2026-03-18 16:35:32,1,-100.0,-20.0,-40.0,-50.0,100.0,50.0,100.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,20.0,5.0,125.0,51.0,1.0,3200.0,5.0,10.0,4.0,
52,89,2026-03-18 16:34:19,2026-03-18 16:42:22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,-5.0,-4.0,-1.0,1.0,1.0,0.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,138.0,39.0,3.0,650.0,8.0,5.0,1.0,
53,89,2026-03-18 16:36:46,2026-03-18 16:43:17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-7.0,-5.0,-2.0,0.0,3.0,4.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,1.0,48.0,65.0,1.0,563.0,5.0,15.0,2.0,
54,89,2026-03-18 16:38:18,2026-03-18 16:46:14,3,,,,,,,,,,,,,,,,,,,-10.0,-8.0,-3.0,-1.0,-1.0,2.0,10.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,100.0,59.0,1.0,1000.0,8.0,1.0,2.0,
55,89,2026-03-18 16:38:45,2026-03-18 16:43:33,1,-100.0,-75.0,-50.0,-25.0,0.0,25.0,50.0,75.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,95.0,73.0,3.0,2400.0,4.0,10.0,3.0,
56,89,2026-03-18 16:38:50,2026-03-18 16:43:54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,30.0,3.0,136.0,36.0,3.0,1900.0,8.0,9.0,4.0,
57,89,2026-03-18 16:39:51,2026-03-18 20:43:54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,50.0,1.0,60.0,38.0,3.0,2480.0,5.0,14.0,5.0,
58,89,2026-03-18 16:41:14,2026-03-18 16:46:23,1,-10.0,-10.0,-8.0,-5.0,0.0,5.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,70.0,60.0,1.0,2300.0,5.0,2.0,3.0,
59,79,2026-03-18 16:43:46,2026-03-18 16:57:25,3,,,,,,,,,,,,,,,,,,,-1.0,-2.0,-2.0,-1.0,1.0,0.0,-1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
60,48,2026-03-18 16:45:37,2026-03-18 16:47:50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,79,2026-03-18 16:46:09,2026-03-18 16:49:51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
62,89,2026-03-18 16:53:39,2026-03-18 17:06:52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,183.0,60.0,3.0,4500.0,8.0,1.0,4.0,
63,79,2026-03-18 16:54:54,2026-03-18 16:57:16,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
64,35,2026-03-18 16:55:24,2026-03-18 16:55:49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,89,2026-03-18 16:56:08,2026-03-18 17:00:45,2,,,,,,,,,,10.0,10.0,10.0,55.0,80.0,50.0,60.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,120.0,62.0,1.0,800.0,5.0,13.0,4.0,
66,89,2026-03-18 16:57:02,2026-03-18 17:10:40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,3.0,160.0,52.0,1.0,1500.0,5.0,1.0,7.0,
67,4,2026-03-18 16:57:11,2026-03-18 16:57:53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,89,2026-03-18 16:58:31,2026-03-18 17:04:27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,25.0,4.0,120.0,47.0,3.0,6000.0,8.0,1.0,4.0,
69,89,2026-03-18 17:00:51,2026-03-18 17:07:05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,35.0,2.0,180.0,61.0,1.0,0.0,2.0,9.0,4.0,
70,89,2026-03-18 17:01:11,2026-03-18 17:20:58,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,25.0,2.0,60.0,32.0,1.0,2670.0,8.0,14.0,3.0,
71,89,2026-03-18 17:02:26,2026-03-18 17:08:25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-60.0,50.0,60.0,100.0,80.0,150.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,4.0,150.0,47.0,1.0,7500.0,8.0,15.0,4.0,
72,89,2026-03-18 17:03:26,2026-03-18 17:10:17,1,-100.0,-30.0,-11.0,-4.0,0.0,5.0,12.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,4.0,100.0,23.0,1.0,0.0,7.0,2.0,5.0,
73,62,2026-03-18 17:06:04,2026-03-18 17:07:16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
74,79,2026-03-18 17:10:35,2026-03-18 17:14:32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,7.0,0.0,,,,,,,,,,
75,2,2026-03-18 17:10:48,2026-03-18 17:10:48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,89,2026-03-18 17:27:00,2026-03-18 17:31:19,2,,,,,,,,,,80.0,0.0,0.0,80.0,80.0,100.0,80.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,1.0,20.0,32.0,3.0,900.0,5.0,1.0,3.0,
77,89,2026-03-18 17:39:15,2026-03-18 17:45:57,2,,,,,,,,,,20.0,1.0,1.0,2.0,0.0,2.0,4.0,-2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,80.0,72.0,1.0,3900.0,3.0,12.0,3.0,
78,60,2026-03-18 17:40:28,2026-03-18 17:40:47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,89,2026-03-18 17:41:04,2026-03-18 17:43:37,3,,,,,,,,,,,,,,,,,,,0.0,-6.0,-3.0,-2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,45.0,3.0,120.0,29.0,1.0,1500.0,7.0,2.0,4.0,
80,46,2026-03-18 17:42:14,2026-03-18 17:48:56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,79,2026-03-18 17:46:25,2026-03-18 17:54:07,2,,,,,,,,,,100.0,10.0,8.0,5.0,0.0,0.0,0.0,-5.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
82,79,2026-03-18 17:52:19,2026-03-18 17:59:28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,-90.0,-80.0,-20.0,30.0,30.0,20.0,-100.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
83,89,2026-03-18 17:57:08,2026-03-18 20:01:07,3,,,,,,,,,,,,,,,,,,,60.0,-6.0,-4.0,-2.0,0.0,0.0,4.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,55.0,4.0,114.0,56.0,3.0,4138.0,7.0,10.0,6.0,
